"t (day)" "dm/dt (M_sun/yr)"
11.812668749999998 0.00016435590052057766
11.839913741802853 0.00016953580668425846
11.867221572037394 0.00017472765989427953
11.894592385635534 0.0001799314877055658
11.922026327863438 0.00018529974861897084
11.949523544322341 0.0001921209303755988
11.977084180949268 0.00019895784465169005
12.004708384017865 0.00020581052773306787
12.032396300139126 0.0002130696225143835
12.060148076262191 0.00022199563492718768
12.087963859675146 0.00023094223448589314
12.115843798005761 0.00023990946867312996
12.143788039222322 0.0002496472229719991
12.171796731634375 0.00026126907046137004
12.19987002389353 0.0002729177228283058
12.228008064994265 0.00028459324189615337
12.256211004274682 0.00029757196319451286
12.284478991417345 0.00031263765067170087
12.31281217645002 0.0003277380859726427
12.341210709746525 0.00034287334924046673
12.369674742027492 0.00036007016625581894
12.398204424361168 0.0003795140041931012
12.426799908164254 0.00039900268781398635
12.455461345202652 0.0004185363205515091
12.484188887592328 0.00044118387347847417
12.51298268780007 0.00046615702127741264
12.541842898644322 0.0004911877676784468
12.570769673296008 0.0005162762455282336
12.599763165279304 0.0005459034645973618
12.628823528472504 0.0005778033110453884
12.65795091710878 0.0006097767319813882
12.687145485777064 0.0006418238970991518
12.716407389422812 0.0006802940775662595
12.745736783348846 0.0007207913543708699
12.775133823216208 0.0007613820349606929
12.80459866504493 0.0008020663347641957
12.834131465214917 0.0008516163375509311
12.863732380466734 0.0009026853228746556
12.893401567902458 0.0009538720947981613
12.923139184986525 0.0010051769249870004
12.952945389546526 0.0010684549007077759
12.982820339774095 0.0011324005281500651
13.0127641942257 0.0011964936411548667
13.042777111823526 0.0012615342270728578
13.072859251856285 0.0013408371671653641
13.103010773980074 0.001420323013254668
13.133231838219247 0.00149999218719911
13.16352260496721 0.001582503709475062
13.193883234987334 0.0016803509372597797
13.224313889413757 0.0017784238419829876
13.25481472975226 0.0018767229441507796
13.285385917881147 0.001980411149208333
13.316027616052049 0.0021002429067657597
13.346739986890851 0.00222035104685129
13.377523193398492 0.002340736206919436
13.408377398951885 0.0024698181805613306
13.439302767304742 0.0026154833785357796
13.470299462588459 0.002761484541837658
13.501367649313005 0.0029078224453446353
13.532507492367758 0.003067028365872244
13.563719157022422 0.003242773994629318
13.595002808927866 0.003418924966862642
13.626358614117015 0.003595482217465029
13.657786739005761 0.003790028151060458
13.68928735039379 0.0040004679043333016
13.720860615465531 0.004211393020353114
13.752506701790976 0.004422804618570806
13.784225777326638 0.004658335228658308
13.816018010416386 0.0049083983064924916
13.847883569792357 0.005159038135156583
13.879822624575882 0.005410256044881156
13.911835344278325 0.005692751245839379
13.943921898802047 0.005987601777940632
13.976082458441242 0.006283132359614022
14.008317193882906 0.006579344559340571
14.040626276207687 0.006914982191664077
14.073009876890822 0.0072599082722769204
14.10546816780306 0.00760562989777796
14.138001321211526 0.007952148903028741
14.170609509780698 0.008347147222218732
14.203292906573267 0.008747446139630159
14.236051685051082 0.009148668315024472
14.268886019076087 0.009551471433164205
14.301796082911197 0.010011241057170913
14.334782051221282 0.010472071103670082
14.367844099074036 0.010933964018442707
14.400982401940938 0.011403464059218084
14.434197135698197 0.011928497946918462
14.467488476627638 0.012454742784004456
14.500856601417697 0.012982201363435855
14.534301687164294 0.013524034845811902
14.567823911371844 0.014118789176346713
14.601423451954133 0.014714915260987472
14.635100487235293 0.015312416263577046
14.668855195950773 0.01593163474477868
14.702687757248224 0.016600034344951133
14.736598350688523 0.017269975556254386
14.770587156246656 0.01794146193429301
14.80465435431274 0.01864238319757072
14.838800125692925 0.019387729677615918
14.873024651610374 0.020134795240720718
14.907328113706251 0.020883583851815428
14.941710694040633 0.021669682856842648
14.97617257509353 0.022494595837371054
15.0107139397658 0.02332141141483721
15.045334971380177 0.02415013397743171
15.080035853682194 0.02502398426409825
15.114816770841177 0.025930377533316666
15.149677907451244 0.02683886132735334
15.184619448532239 0.027749440467839087
15.219641579530768 0.028712714736592725
15.254744486321133 0.029701818012340234
15.28992835520634 0.03069320257703334
15.32519337291911 0.031686873692286024
15.36053972662282 0.032740385824960555
15.395967603912553 0.03381277857470909
15.431477192816045 0.03488764471402735
15.4670686817947 0.03596498994759362
15.502742259744618 0.03710876459109451
15.538498115997545 0.03826443322363976
15.574336440321929 0.039422767315031707
15.610257422923882 0.0405837730129412
15.646261254448238 0.04181714159121336
15.682348125979514 0.043055551857477135
15.718518229042951 0.04429681841966048
15.75477175560555 0.045545519617361134
15.791108898077036 0.046862659812821214
15.827529849310949 0.04818283788859369
15.86403480260559 0.049506060851309965
15.900623951705127 0.050843276055424685
15.937297490800557 0.05224063267001162
15.974055614530762 0.0536412121777747
16.01089851798357 0.05504502201206429
16.047826396696728 0.0564688928821756
16.08483944665901 0.057944782103153236
16.1219378643112 0.059424075346589965
16.15912184654715 0.06090678046359567
16.19639159071487 0.06241505314252149
16.233747294617494 0.06396751159209309
16.271189156514406 0.06552355066503028
16.308717375122242 0.06708317861975913
16.346332149615957 0.06867325957051022
16.384033679629912 0.07030008052207397
16.421822165258877 0.07193065360826735
16.459697807059165 0.07356498748309483
16.497660806049605 0.07523398895920337
16.535711363712718 0.07693274809335497
16.573849681995682 0.07863542528189917
16.61207596331146 0.08034202956152005
16.650390410539895 0.08208680655101204
16.68879322702871 0.08385488838218047
16.727284616594673 0.08562704815509256
16.76586478352461 0.08740329527519979
16.804533932576547 0.08922049318632086
16.843292268980743 0.09105513160183987
16.88213999844081 0.09289400146663133
16.921077327134817 0.0947371125402011
16.960104461716337 0.09662321539503868
16.999221609315605 0.09852152395163416
17.03842897754056 0.10042421080767716
